settlement_date,ticker,sector,market_cap_tier,asset_class,counterparty_id,counterparty_type,counterparty_size,quantity_failed,price_usd,fail_value_usd,daily_volume_shares,fail_rate_pct,days_failed_consecutive,settlement_lag_days,slo_breach,threshold_flag,fail_reason,regime_base_mult,is_post_t1
2024-01-02,AAPL,Technology,large,Technology Equity,PRIME_A,Prime Broker,large,270114,185.11,49999864.34,53131347,0.5084,1,4,1,0,Securities Lending Recall,1.0,0
2024-01-02,GOOGL,Technology,large,Technology Equity,CUSTODY_A,Custodian,large,285792,174.95,49999993.39,23996525,1.191,1,2,0,0,Corporate Action,1.0,0
2024-01-02,GS,Financials,large,Financials Equity,FOREIGN_A,Foreign Dealer,large,66314,479.39,31790316.41,3619624,1.8321,1,2,0,0,FX Settlement Mismatch,1.0,0
2024-01-02,WFC,Financials,large,Financials Equity,CUSTODY_A,Custodian,large,75688,57.93,4384452.32,16313464,0.464,1,2,0,0,Securities Lending Recall,1.0,0
2024-01-02,CVX,Energy,large,Energy Equity,FOREIGN_A,Foreign Dealer,large,241948,154.99,37499868.86,12716222,1.9027,1,4,1,0,Custodian Delay,1.0,0
2024-01-02,UNH,Healthcare,large,Healthcare Equity,REGB_A,Regional Broker,mid,22397,514.76,11529175.68,2255711,0.9929,1,2,0,0,Custodian Delay,1.0,0
2024-01-02,UNH,Healthcare,large,Healthcare Equity,PRIME_B,Prime Broker,large,33652,514.76,17322847.7,2255711,1.4919,1,2,0,0,Securities Lending Recall,1.0,0
2024-01-02,PLTR,Technology,mid,Technology Equity,PRIME_B,Prime Broker,large,500000,25.06,12529379.24,59503285,0.8403,1,3,0,0,Short Sale Locate Failure,1.0,0
2024-01-02,RIVN,Consumer,mid,Consumer Equity,REGB_B,Regional Broker,mid,500000,11.98,5990090.06,66261630,0.7546,1,2,0,0,System Issue,1.0,0
2024-01-02,RIVN,Consumer,mid,Consumer Equity,PRIME_A,Prime Broker,large,356204,11.98,4267388.08,66261630,0.5376,1,3,0,0,Short Sale Locate Failure,1.0,0
2024-01-02,LCID,Consumer,mid,Consumer Equity,CUSTODY_B,Custodian,large,500000,3.49,1747252.01,49747794,1.0051,1,2,0,0,Custodian Delay,1.0,0
2024-01-02,BBAI,Technology,mid,Technology Equity,REGB_B,Regional Broker,mid,481144,3.2,1542054.95,20252911,2.3757,1,2,0,0,Securities Lending Recall,1.0,0
2024-01-02,BBAI,Technology,mid,Technology Equity,CUSTODY_B,Custodian,large,500000,3.2,1602487.97,20252911,2.4688,1,3,0,0,Custodian Delay,1.0,0
2024-01-02,SOFI,Financials,mid,Financials Equity,CUSTODY_A,Custodian,large,500000,10.52,5257705.53,52179178,0.9582,1,2,0,0,Corporate Action,1.0,0
